No,Website,Price,Country,Language,Industry,Duration
1,tnonline.uol.com.br,"1,296.75",Brazil,Portuguese,News and Media,Minimum 1 year
2,cancan.ro,676,Romania,Romanian,-,Minimum 1 year
3,mixvale.com.br,471.87,Brazil,Portuguese,News,Minimum 1 Year
4,ziaruldeiasi.ro,232.5,Romania,Romanian,-,Minimum 1 year
5,as.ro,315,Romania,Romanian,-,Minimum 1 year
6,economipedia.com,"1,214.85",Mexico,Spanish,Economics/Finance,Minimum 1 year
7,guardian.ng,"1,092.00",Nigeria,English,News,Minimum 1 year
8,eleconomista.com.ar,810.81,Argentina,Spanish,News,Minimum 1 Year
9,avantaje.ro,329,Romania,Romanian,-,Minimum 1 year
10,ambitojuridico.com.br,198,Brazil,Portuguese,Legal/Juridical,Minimum 1 year
11,open.edu,"2,820.55",United States,English,Education,Minimum 1 Year
12,samnytt.se,"1,284.83",Sweden,Swedish,Arts &amp; Entertainment,Minimum 1 year
13,clicksanatate.ro,884,Romania,Romanian,-,Minimum 1 year
14,technoxyz.com,374.5,India,English,Computers/Internet/Gaming,Minimum 1 year
15,diariodelistmo.com,290.4,Mexico,Spanish,News,Minimum 1 year
16,ziuadevest.ro,135,Romania,Romanian,-,Minimum 1 year
17,diariodoaco.com.br,335.93,Brazil,Portuguese,Arts &amp; Entertainment,Minimum 1 year
18,tradeflock.com,"1,160.25",India,English,Business &amp; Industrial,Minimum 1 year
19,boyens-medien.de,"1,316.34",Germany,German,News,Minimum 1 year
20,fastfuriousscooters.nl,"2,224.80",Netherlands,Dutch,-,Minimum 1 Year
21,spacecoastdaily.com,887.25,United States,English,News and Media,Minimum 1 year
22,kfetele.ro,300,Romania,Romanian,-,Minimum 1 year
23,alltforforaldrar.se,"1,359.60",Sweden,Swedish,Family,Minimum 1 year
24,egamersworld.com,722.97,United States,English,Games/Computer &amp; Video Games/Strategy Games,Minimum 1 year
25,de.egamersworld.com,698.87,United States,German,Games/Computer &amp; Video Games/Strategy Games,Minimum 1 year
26,gacetinmadrid.com,321.33,Spain,Spanish,News,Minimum 1 Year
27,infonegocios.info,569.24,Argentina,Spanish,News,Minimum 1 Year
28,football-aktuell.de,722.97,Germany,German,Sports/football,Minimum 1 year
29,merca2.es,524.3,Spain,Spanish,Business/News,Minimum 1 year
30,breizh-info.com,"1,631.52",France,French,News,Minimum 1 Year
31,calarasipress.ro,97.5,Romania,Romanian,-,Minimum 1 year
32,noticialdia.com,252.45,Venezuela,Spanish,People &amp; Society,Minimum 1 year
33,chattestdu.de,"2,024.57",Germany,German,Entertainment,Minimum 1 Year
34,xgn.nl,"6,550.80",Netherlands,Dutch,Games/Computer &amp; Video Games,Minimum 1 year
35,incomod-media.ro,75,Romania,Romanian,-,Minimum 1 year
36,marsemfim.com.br,413.45,Brazil,Portuguese,Internet &amp; Telecom - Web Services - Domain Parking,Minimum 1 year
37,manutdfanatics.hu,599.2,Hungary,Hungarian,Sports,Permanent
